Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,4960,,,4960.0,4960.0,,,0.0,0.0,
2022-01-04,4940,,,4949.090909090909,4949.756097560975,,,-1.5954415954420256,-0.3190883190884051,
2022-01-05,4865,,,4915.824175824176,4920.114988104678,,,-8.810155761723763,-2.017301807615477,
2022-01-06,4875,,,4902.6825633383005,4907.997882892027,,,-13.564588162522341,-4.32675907859685,
2022-01-07,4865,4901.0,,4892.182326381423,4898.539380681618,4884.0,,-17.932709409159543,-7.0479491447093885,
2022-01-10,4880,4885.0,,4889.129580097322,4895.060731308072,4877.0,,-19.954084067817348,-9.62917612933098,
2022-01-11,4795,4856.0,,4867.368082017333,4878.59170519545,4847.0,,-28.091011973398963,-13.321543298144578,
2022-01-12,4855,4854.0,,4864.6820497583,4875.115370515061,4846.666666666667,,-29.35964766041161,-16.529164170597987,
2022-01-13,4935,4866.0,,4879.219082459862,4883.139345097496,4873.666666666667,,-23.637243738152392,-17.950780084108867,
2022-01-14,4880,4869.0,,4879.374304630339,4882.752145523667,4878.333333333333,,-23.27197293024983,-19.015018653337062,
2022-01-17,4810,4855.0,,4866.0137504497225,4874.410669187323,4858.666666666667,,-28.304630013172755,-20.872940925304203,
2022-01-18,4735,4843.0,,4841.419743868914,4859.43060641367,4818.666666666667,,-37.90794106089652,-24.279940952422667,
2022-01-19,4715,4815.0,,4818.177473844477,4844.787300966616,4776.0,,-46.59534497508503,-28.74302175695514,
2022-01-20,4775,4783.0,,4810.373395328729,4838.072834146277,4762.666666666667,,-48.084389694462516,-32.61129534445662,
2022-01-21,4755,4758.0,,4800.503912682471,4830.450522832148,4753.333333333333,,-50.298491515121896,-36.14873457858968,35.81347113054948
2022-01-24,4655,4727.0,,4774.86659190758,4815.032614645145,4719.0,,-59.43719246845649,-40.80642615656305,28.67170071072749
2022-01-25,4525,4685.0,,4731.256512152512,4790.532001318379,4651.666666666667,,-76.29016680547466,-47.90317428634537,22.414089161920344
2022-01-26,4505,4643.0,,4692.075410667298,4767.268968876302,4591.666666666667,,-90.22010206318919,-56.366559841714135,21.63188375665759
2022-01-27,4410,4570.0,,4643.543759615143,4739.114469315588,4514.0,,-107.68406727008096,-66.63006132738751,18.35518333390692
2022-01-28,4510,4521.0,4762.25,4620.69035697325,4721.605195238726,4494.0,4684.976190476191,-112.16228425815734,-75.73650591354148,30.320130927005017
2022-02-03,4610,4512.0,4744.75,4618.869041400641,4713.314937368808,4523.666666666667,4670.476190476191,-106.41544817464819,-81.87229436576283,39.81813795785453
2022-02-04,4675,4542.0,4731.5,4628.3967860274215,4710.5427418666995,4578.0,4663.833333333333,-95.51504442631904,-84.60084437787407,45.06028945419521
2022-02-07,4680,4577.0,4722.25,4637.129135972764,4708.386225852675,4624.0,4658.928571428572,-85.48749112576115,-84.77817372745149,45.45388403432541
2022-02-08,4645,4624.0,4710.75,4638.457658279123,4704.011314535668,4646.666666666667,4651.571428571428,-79.4489523161983,-83.71232944520085,43.12486410174059
2022-02-09,4700,4662.0,4702.5,4648.823374851792,4703.740254894425,4672.0,4650.547619047619,-69.42503783786651,-80.854871123734,47.66312367975835
2022-02-10,4710,4682.0,4694.0,4659.109331987522,4704.154973861901,4688.0,4651.261904761905,-59.982654268371334,-76.68042775266147,48.46824953688475
2022-02-11,4610,4669.0,4684.75,4650.864423849915,4698.031146927874,4664.0,4643.261904761905,-59.878420368984735,-73.32002627592612,41.5797785812734
2022-02-14,4450,4623.0,4664.5,4617.18269583109,4682.175453399808,4591.0,4620.9047619047615,-71.87791323563033,-73.03160366786696,33.4003769972417
2022-02-15,4380,4570.0,4636.75,4577.451394296475,4663.1684692115205,4510.0,4593.809523809524,-86.04414937632919,-75.63411280955941,30.567295217434303
2022-02-16,4450,4520.0,4615.25,4556.119630494084,4649.961883653354,4470.0,4576.023809523809,-90.57844664466847,-78.62297957658123,36.37886967519009
2022-02-17,4435,4465.0,4596.5,4535.861908649495,4636.8323966082935,4441.666666666667,4558.857142857143,-94.2953069358773,-81.75744504844045,35.68950636375492
2022-02-18,4445,4432.0,4582.0,4520.673824465172,4625.271220966135,4435.0,4544.428571428572,-95.3350657744495,-84.47296919364227,36.552694715259356
2022-02-21,4445,4431.0,4568.5,4508.030697495981,4614.542500505457,4439.333333333333,4531.380952380952,-95.06325214912067,-86.59102578473795,36.552694715259356
2022-02-22,4365,4428.0,4548.0,4484.143719191863,4599.865730719171,4417.333333333333,4512.0,-100.14871723298984,-89.30256407438833,32.50478863067102
2022-02-23,4415,4421.0,4531.0,4472.600222879602,4589.113287115839,4413.0,4499.333333333333,-99.00315606242657,-91.24268247199598,37.18674165257686
2022-02-24,4325,4399.0,4514.5,4447.965430191916,4573.911817472839,4381.0,4479.714285714285,-104.15688271155796,-93.82552251990838,32.779081883061345
2022-02-25,4440,4398.0,4510.25,4446.636295839439,4566.280145438188,4394.666666666667,4472.619047619048,-97.83394053966276,-94.62720612385925,42.20549557339613
2022-02-28,4410,4391.0,4505.5,4440.52425830024,4557.456385627095,4398.666666666667,4463.071428571428,-94.15831415952198,-94.5334277309918,40.60579687624203
2022-03-02,4520,4422.0,4511.0,4453.781038793762,4555.360089984127,4441.666666666667,4464.452380952381,-81.43059190545682,-91.91286056588481,48.33789564737715
2022-03-03,4545,4448.0,4512.75,4468.994549930599,4554.785073799566,4482.666666666667,4467.690476190476,-68.5364437929511,-87.23757721129807,49.9331701845062
2022-03-04,4560,4495.0,4510.25,4484.170729555719,4555.072253787522,4520.0,4472.190476190476,-56.45656770716323,-81.0813753104711,50.91259111965124
2022-03-07,4515,4510.0,4502.25,4489.311370170003,4552.881839017058,4526.666666666667,4472.642857142857,-49.9386412273343,-74.85282849384376,47.886130858689555
2022-03-08,4420,4512.0,4489.25,4477.7549249395815,4545.6690972369215,4496.666666666667,4464.809523809524,-51.84124992573288,-70.25051278022158,42.184969999383014
2022-03-10,4505,4509.0,4482.25,4482.297261188516,4543.476209807914,4494.333333333333,4466.309523809524,-45.96048751079434,-65.39250772633613,48.13486207068404
2022-03-11,4570,4514.0,4475.75,4496.918382156299,4544.897423565782,4514.666666666667,4474.666666666667,-35.64410114569091,-59.4428264102071,52.187079316234836
2022-03-14,4510,4504.0,4465.75,4499.099148700189,4543.0386138406,4513.333333333333,4477.928571428572,-31.941586459120117,-53.9425784199897,48.42595286095485
2022-03-15,4500,4501.0,4460.25,4499.249319097991,4540.759034271969,4512.0,4481.190476190476,-29.47446997865427,-49.04895673172262,47.80753119906307
2022-03-16,4570,4531.0,4466.25,4511.042965405802,4542.299571731756,4535.0,4491.642857142857,-21.621606981381774,-43.563486781654454,52.39084618120329
2022-03-17,4570,4544.0,4475.75,4520.87043370566,4543.751592443082,4548.0,4501.523809523809,-15.222678912506126,-37.89532520782479,52.39084618120329
2022-03-18,4545,4539.0,4480.5,4524.892470048786,4543.81671976739,4548.333333333333,4508.119047619048,-12.030097902275884,-32.72227974671501,50.55209747782577
2022-03-21,4560,4549.0,4486.75,4530.744260893137,4544.657150951327,4555.333333333333,4515.690476190476,-8.195111664605065,-27.816846130293023,51.64860572466324
2022-03-22,4620,4573.0,4495.5,4545.621352665488,4548.55305767347,4579.0,4528.380952380952,-0.31077644518154557,-22.315632193270726,55.864562402540635
2022-03-23,4620,4583.0,4504.25,4558.018582237056,4552.232462030421,4594.666666666667,4540.238095238095,5.869950879952739,-16.678515578626037,55.86456240254064
2022-03-24,4595,4588.0,4515.75,4564.182478503211,4554.426411353922,4598.666666666667,4548.880952380952,8.651205042038782,-11.612571454493075,53.60586740351033
2022-03-25,4580,4595.0,4524.0,4566.818848508753,4555.733510683565,4596.0,4555.0,9.53507989789523,-7.383041184015414,52.24106694107704
2022-03-28,4630,4609.0,4539.25,4577.349427951428,4559.51615745434,4607.666666666667,4565.0952380952385,14.10751655250806,-3.0849296367107195,56.240450898661116
2022-03-29,4680,4621.0,4551.25,4594.458381303662,4565.632540376169,4631.333333333333,4578.5,21.517744512075296,1.8356051930464834,59.860352166823674
2022-03-30,4665,4630.0,4564.0,4606.215618217435,4570.661125946095,4646.0,4589.333333333333,25.88168101017436,6.644820356472059,58.302182877037794
2022-03-31,4720,4655.0,4574.0,4625.1800857230155,4578.196056687881,4676.0,4604.190476190476,33.39323603278626,11.9945034917349,62.18863922430908
